,药品名称,指导价,成分,性状,适应症,用法用量,禁忌,注意事项,特殊人群用药,通用名称,用法,剂型,成分明细,功效或适应症,特殊人群,商品名称
3775,"通用名称：藿香正气胶囊
                                
商品名称：泰华堂                                
汉语拼音：Huoxiang Zhengqi Jiaonang",12.8,广藿香、紫苏叶、白芷、白术(炒)、陈皮、姜半夏、厚朴(姜制)、茯苓、桔梗、甘草、大腹皮、大枣、生姜。辅料为玉米淀粉。,本品为胶囊剂，内容物为棕色至棕褐色的粉末及颗粒；气香，味甜，微苦。,解表化湿，理气和中。用于外感风寒，内伤湿滞，头痛昏重，胸膈痞闷，脘腹胀痛，呕吐泄泻。,口服，1次1粒，1日2次。,尚不明确,饮食宜清淡。不宜在服药期间同时服用滋补性中成药。有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者、孕妇或正在接受其它治疗的患者，均应在医师指导下服用。服药三天后症状未改善，或出现吐泻明显，并有其他严重症状时应去医院就诊。按照用法用量服用，小儿、年老体虚者应在医师指导下服用。长期服用应向医师咨询。对本品过敏者禁用，过敏体质者慎用。本品性状发生改变时禁止使用。儿童必须在成人监护下使用。请将本品放在儿童不能接触的地方。如正在使用其他药品，使用本品前请咨询医师或药师。,,藿香正气胶囊,['口服'],"['颗粒剂', '粉剂', '胶囊剂', '气雾剂', '软膏剂']","{""广藿香"",""紫苏叶"",""白芷"",""白术(炒)"",""陈皮"",""姜半夏"",""厚朴(姜制)"",""茯苓"",""桔梗"",""甘草"",""大腹皮"",""大枣"",""生姜"",""玉米淀粉""}","{""解表化湿"",""理气和中"",""外感风寒"",""内伤湿滞"",""头痛昏重"",""胸膈痞闷"",""脘腹胀痛"",""呕吐泄泻""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""过敏体质者""]}",泰华堂
3776,"通用名称：亮嗓牌胖大海清咽糖
                                
汉语拼音：LiangSangPaiPanDaHaiQingYanTang",5.8,胖大海、乌梅、菊花、桔红、白砂糖、葡萄糖浆、桉叶油、薄荷油,,清咽润喉(清咽),,,本品不能代替药物,,亮嗓牌胖大海清咽糖,[],['中药剂型'],"{""胖大海"",""乌梅"",""菊花"",""桔红"",""白砂糖"",""葡萄糖浆"",""桉叶油"",""薄荷油""}","{""清咽润喉"",""清咽""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",
3777,"通用名称：复方北豆根氨酚那敏片
                                
商品名称：汝立康                                
英文名称：Compound Asiatic Moonseed，Paracetamol and Chlorphenamine Maleate Tablets                                
汉语拼音：FuFangBeiDouGenAnFenNaMinPian(RuLiKang)",10.8,本品每片含对乙酰氨基酚300毫克，马来酸氯苯那敏3毫克，咖啡因15毫克，北豆根提取物50毫克（相当于原生药300毫克），金银花提取物30毫克（相当于原生药200毫克）。辅料为：淀粉。,本品为绿色圆形薄膜衣片，除去薄膜衣后呈棕褐色，味苦，微涩。,用于缓解普通感冒或流行性感冒引起的发热、头痛、鼻塞、流涕、咽痛等症状。,口服，成人一次1-2片，一日3次。,对本品过敏者禁用。严重肝肾功能不全者禁用。,1.用药3-7天，症状未缓解，请咨询医师或药师；2.服用本品期间不得饮酒或含有酒精的饮料；3.不能同时服用与本品成份相似的其他抗感冒药；4.前列腺肥大和青光眼等患者以及老年人应在医师指导下使用；5.肝肾功能不全患者慎用；6.孕妇及哺乳期妇女慎用；7.服药期间不得驾驶机、车、船、从事高空作业、机械作业及操作精密仪器；8.如服用过量或出现严重不良反应，应立即就医；9.对本品过敏者禁用，过敏体质者慎用；10.本品性状发生改变时禁止使用；11.请将本品放在儿童不能接触的地方；12.儿童必须在成人监护下使用；13.如正在使用其他药品，使用本品前请咨询医师或药师。,"儿童注意事项：
                                    
尚不明确。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
孕妇及哺乳期妇女慎用。                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",复方北豆根氨酚那敏片,['口服'],"['片剂', '膜剂']","{""对乙酰氨基酚"",""马来酸氯苯那敏"",""咖啡因"",""北豆根提取物"",""金银花提取物"",""淀粉""}","{""普通感冒"",""流行性感冒"",""发热"",""头痛"",""鼻塞"",""流涕"",""咽痛""}","{""忌用人群"":[],""禁用人群"":[""对本品过敏者"",""严重肝肾功能不全者""],""慎用人群"":[""肝肾功能不全患者"",""孕妇"",""哺乳期妇女"",""前列腺肥大患者"",""青光眼患者"",""老年人"",""过敏体质者""]}",汝立康
3778,"通用名称：洛芬葡锌那敏片
                                
英文名称：Ibuprofen  Zinc Gluconate and Chlorphenamine Maleate Tablets.                                
汉语拼音：Luo Fen Pu Xin Na Min Pian",12.9,本品为复方制剂，每片含葡萄糖酸锌100毫克、布洛芬150毫克、马来酸氯苯那敏2毫克。,白色颗粒。,用于普通感冒或流行性感冒引起的发热、头痛、鼻塞、喷嚏等症状的对症治疗。,口服。成人一次服1片，一日3次。每24小时不超过5片。,对本品中任一成份过敏者禁用。,"1.本品为对症治疗药，疗程为3～7天，症状未缓解，请咨询医师或药师。
2.孕妇及哺乳期妇女慎用。
3.驾驶机、车、船，从事高空作业、机械作业者工作期间禁用。
4.服用本品期间禁止饮酒或含有酒精的饮料。
5.肾功能不全、高血压、心功能不全、消化道溃疡、血液病或其他出血性疾病的患者，使用。
6.必须咨询医师或药师。
7.当本品性状发生改变时禁用。
8.儿童必须在成人监护下使用。
9.请将此药品放在儿童不能接触的地方。","儿童注意事项：
                                    
尚不明确。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
尚不明确。                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",洛芬葡锌那敏片,['口服'],"['颗粒剂', '片剂']","{""葡萄糖酸锌"",""布洛芬"",""马来酸氯苯那敏""}","{""普通感冒"",""流行性感冒"",""发热"",""头痛"",""鼻塞"",""喷嚏""}","{""忌用人群"":[],""禁用人群"":[""对本品中任一成份过敏者"",""驾驶机、车、船，从事高空作业、机械作业者工作期间"",""服用本品期间饮酒或含有酒精的饮料者"",""当本品性状发生改变时""],""慎用人群"":[""孕妇"",""哺乳期妇女"",""肾功能不全者"",""高血压患者"",""心功能不全者"",""消化道溃疡患者"",""血液病患者"",""其他出血性疾病患者""]}",
3779,"通用名称：碧生源牌美安颗粒
                                
汉语拼音：BiShengYuanPaiMeiAnKeLi",53,酸枣仁、人参、刺五加、茯苓、当归、川芎、维生素C、维生素E、糊精、蔗糖,每100克含：粗多糖 0.72克、总皂甙 0.19克、维生素C 3.30克、维生素E   0.31克,改善睡眠、祛黄褐斑,每日1袋,,本品不能代替药物,,碧生源牌美安颗粒,"['口服', '冲服']","['中药剂型', '颗粒剂']","{""酸枣仁"",""人参"",""刺五加"",""茯苓"",""当归"",""川芎"",""维生素C"",""维生素E"",""糊精"",""蔗糖""}","{""改善睡眠"",""祛黄褐斑""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",
3780,"通用名称：百合康牌越橘叶黄素软胶囊
                                
汉语拼音：BaiGeKangPaiYueJuXieHuangSuRuanJiaoNang",164,越橘提取物(经辐照)、叶黄素、葡萄糖酸锌、天然β-胡萝卜素、大豆油、蜂蜡、胭脂红、明胶、甘油、纯化水,每100克含：原花青素 1.14克、β-胡萝卜素 95.3毫克、叶黄素 0.202克,缓解视疲劳,每日2次，每次2粒,,本品不能代替药物；本品添加了营养素，与同类营养素同时食用不宜超过推荐量,,百合康牌越橘叶黄素软胶囊,['口服'],"['胶囊剂', '软膏剂']","{""越橘提取物(经辐照)"", ""叶黄素"", ""葡萄糖酸锌"", ""天然β-胡萝卜素"", ""大豆油"", ""蜂蜡"", ""胭脂红"", ""明胶"", ""甘油"", ""纯化水""}",{"视疲劳"},"{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",
3781,"通用名称：栀子金花丸
                                
英文名称：ZhiZiJinHuaWan                                
汉语拼音：ZhiziJinhua Wan",16,栀子、黄连、黄芩、黄柏、大黄、金银花、知母、天花粉。,本品为黄色至黄褐色的水丸;味苦。,清热泻火，凉血解毒。用于肺胃热盛，口舌生疮，牙龈肿痛，目赤眩晕，咽喉肿痛，大便秘结。,口服。一次9克，一日1次。,尚不明确。,"1.忌烟、酒及辛辣食物。
2.不宜在服药期间同时服用滋补性中药。
3.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。
4.服药后大便次数增多且不成形者，应酌情减量。
5.孕妇慎用，儿童、哺乳期妇女、年老体弱及脾虚便溏者应在医师指导下服用。
6.严格按用法用量服用，本品不宜长期服用。
7.服药3天症状无缓解，应去医院就诊。
8.对本品过敏者禁用，过敏体质者慎用。
9.本品性状发生改变时禁止使用。
10.儿童必须在成人监护下使用。
11.请将本品放在儿童不能接触的地方。
12.如正在使","妊娠与哺乳期注意事项：
                                    
孕妇慎用。",栀子金花丸,['口服'],"['中药剂型', '液体剂型']","{""栀子"",""黄连"",""黄芩"",""黄柏"",""大黄"",""金银花"",""知母"",""天花粉""}","{""清热泻火"",""凉血解毒"",""肺胃热盛"",""口舌生疮"",""牙龈肿痛"",""目赤眩晕"",""咽喉肿痛"",""大便秘结""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""孕妇"",""儿童"",""哺乳期妇女"",""年老体弱"",""脾虚便溏者"",""过敏体质者""]}",
3782,"通用名称：复方一枝蒿颗粒
                                
汉语拼音：FuFangYiZhiHaoKeLi",28.5,一枝蒿,本品为棕色或棕褐色的颗粒；味甜、微苦。,中医：解表祛风，凉血解毒。用于邪毒所致的感冒发烧，咽喉肿痛，病毒性感冒见上述证候者。,开水冲服，一次1～2袋，一日3次。,忌烟、酒及辛辣、生冷、油腻食物。,请遵医嘱。,,复方一枝蒿颗粒,['冲服'],['颗粒剂'],{"一枝蒿"},"{""解表祛风"",""凉血解毒"",""感冒发烧"",""咽喉肿痛"",""病毒性感冒""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",
3783,"通用名称：芙朴感冒颗粒
                                
英文名称：FuPuGanMaoKeLi(TianYiTang)                                
汉语拼音：Fupo Ganmao Keli",15.8,芙蓉叶、厚朴、陈皮、牛蒡子（炒）。辅料为蔗糖。,本品为黄棕色的颗粒；味甜、微苦涩。,清热解毒，宣肺利咽，宽中理气。用于风热或风热挟湿感冒引起的发热头痛，咽痛，肢体酸痛，鼻塞，胃纳减退,开水冲服。一次15～30克，一日2次。,尚不明确。,"1.忌烟、酒及辛辣、生冷、油腻食物。
2.不宜在服药期间同时服用滋补性中药。
3.风寒感冒者不适用。
4.高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。
5.儿童、孕妇、哺乳期妇女、年老体弱者应在医师指导下服用。
6.服药3天症状无缓解，应去医院就诊。
7.对本品过敏者禁用，过敏体质者慎用。
8.本品性状发生改变时禁止使用。
9.儿童必须在成人监护下使用。
10.请将本品放在儿童不能接触的地方。
11.如正在使用其他药品，使用本品前请咨询医师或药师。",,芙朴感冒颗粒,['冲服'],['颗粒剂'],"{""芙蓉叶"",""厚朴"",""陈皮"",""牛蒡子（炒）"",""蔗糖""}","{""清热解毒"",""宣肺利咽"",""宽中理气"",""风热感冒"",""风热挟湿感冒"",""发热头痛"",""咽痛"",""肢体酸痛"",""鼻塞"",""胃纳减退""}","{""忌用人群"":[],""禁用人群"":[""对本品过敏者""],""慎用人群"":[""过敏体质者"",""儿童"",""孕妇"",""哺乳期妇女"",""年老体弱者"",""风寒感冒者"",""高血压患者"",""心脏病患者"",""肝病患者"",""糖尿病患者"",""肾病患者""]}",
3784,"通用名称：牛磺酸颗粒
                                
商品名称：泰瑞宁                                
英文名称：Taurine Granules                                
汉语拼音：Niuhuangsuan Keli",10.9,"本药化学名为2-氨基乙黄酸或牛磺酸
结构式为H2N-CH2-CH2-SO3H",本品外观呈黄色颗粒，味甜，溶于水后为混悬液。,用于缓解感冒初期的发热。,口服。一次用量：2岁0.4克，3-5岁0.6克，6-8岁0.8克，9-13岁1.0-1.2克，14岁以上儿童及成人1.2-1.6克，一日3次。,对本品过敏者禁用。,"1.本品为对症治疗药，连续应用不得超过3天，症状未缓解请咨询医师或药师。
2.仅限用于感冒初起、热度不高的患者。
3.当本品性状发生改变时禁用。
4.如服用过量或发生严重不良反应时应立即就医。
5.儿童必须在成人监护下使用。
6.请将此药品放在儿童不能接触的地方。","儿童注意事项：
                                    
尚不明确。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
尚不明确。                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",牛磺酸颗粒,['口服'],"['颗粒剂', '液体剂型']","{""2-氨基乙黄酸"",""牛磺酸""}","{""感冒初期"",""发热""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者"",""当本品性状发生改变时""], ""慎用人群"":[]}",泰瑞宁
3785,"通用名称：感冒滴丸
                                
商品名称：健兴                                
英文名称：GanMaoDiWan(JianXing)                                
汉语拼音：Ganmao Diwan",26.9,麻黄、桂枝、荆芥穗、黄芩、苦杏仁、羌活、川芎、防风、白芷、石菖蒲、葛根、薄荷、当归、桔梗。辅料为PE、-。,本品为深棕色至棕褐色滴丸；气香，味苦、辛。,散风解热。用于外感风寒引起的头痛发热，鼻塞流涕，恶寒无汗，骨节酸痛，咽喉肿痛。,口服。一次1～2袋，一日2次。,尚不明确。,1忌烟、酒及辛辣、生冷、油腻食物。2不宜在服药期间同时服用滋补性中成药。3肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。4高血压、心脏病患者慎用。5服药三天后症状无改善，或症状加重，或出现新的严重症状如胸闷、心悸等应立即停药，并去医院就诊。6小儿、年老体弱者、孕妇应在医师指导下服用。7对本品过敏者禁用，过敏体质者慎用。8药品性状发生改变时禁止服用,,感冒滴丸,['口服'],"['中药剂型', '气雾剂']","{""麻黄"",""桂枝"",""荆芥穗"",""黄芩"",""苦杏仁"",""羌活"",""川芎"",""防风"",""白芷"",""石菖蒲"",""葛根"",""薄荷"",""当归"",""桔梗"",""PE""}","{""散风解热"",""外感风寒"",""头痛发热"",""鼻塞流涕"",""恶寒无汗"",""骨节酸痛"",""咽喉肿痛""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""高血压患者"",""心脏病患者"",""小儿"",""年老体弱者"",""孕妇"",""过敏体质者""]}",健兴
3786,"通用名称：感冒疏风胶囊
                                
英文名称：GanMaoShuFengJiaoNang                                
汉语拼音：GanMaoShuFengJiaoNang",6.5,麻黄绒、桂枝、苦杏仁、白芍(酒炙)、防风、紫苏叶、独活、桔梗、谷芽(炒)、生姜(捣碎)、大枣(去核)、甘草。,本品为硬胶囊，内容物为棕黄色至棕褐色的颗粒；气香，味苦、辛。,辛温解表，宣肺和中。用于风寒感冒，发热咳嗽，头痛怕冷，鼻流清涕，骨节酸痛，四肢疲倦。,口服，一次4粒，一日2次。尚不明确。,尚不明确。,请遵医嘱。,,感冒疏风胶囊,['口服'],"['颗粒剂', '胶囊剂', '气雾剂', '软膏剂']","{""麻黄绒"",""桂枝"",""苦杏仁"",""白芍(酒炙)"",""防风"",""紫苏叶"",""独活"",""桔梗"",""谷芽(炒)"",""生姜(捣碎)"",""大枣(去核)"",""甘草""}","{""辛温解表"",""宣肺和中"",""风寒感冒"",""发热咳嗽"",""头痛怕冷"",""鼻流清涕"",""骨节酸痛"",""四肢疲倦""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",
3787,"通用名称：秘诀清凉散
                                
商品名称：彩轮                                
英文名称：MiJueQingLiangSan(CaiLun)                                
汉语拼音：BiJueQingLiangSan",60,寒水石（煅制），檀香降香，沉香，诃子（去核），豆蔻，红花，天竺黄，肉豆蔻，草果，余甘子，石榴子，止泻木子，荜茇，木香，甘青青兰，獐牙菜，巴夏嘎，绿绒蒿，波棱瓜子，榜嘎，牛黄，麝香。,本品为浅棕色粉末；味苦。,清热解毒，凉血热，化痰湿。用于瘟热窜入脉道，肝脾坏血增盛，中毒症，“木布”症、热势亢盛的合并症，热性培根病，热病后期的余邪。,一次1克，一日2次。,对本品过敏者禁用，过敏体质者慎用。,尚不明确。请仔细阅读说明书并遵医嘱使用。,,秘诀清凉散,['冲服'],"['中药剂型', '粉剂']","{""寒水石（煅制）"",""檀香"",""降香"",""沉香"",""诃子（去核）"",""豆蔻"",""红花"",""天竺黄"",""肉豆蔻"",""草果"",""余甘子"",""石榴子"",""止泻木子"",""荜茇"",""木香"",""甘青青兰"",""獐牙菜"",""巴夏嘎"",""绿绒蒿"",""波棱瓜子"",""榜嘎"",""牛黄"",""麝香""}","{""清热解毒"",""凉血热"",""化痰湿"",""瘟热窜入脉道"",""肝脾坏血增盛"",""中毒症"",""木布症"",""热势亢盛的合并症"",""热性培根病"",""热病后期的余邪""}","{""忌用人群"":[],""禁用人群"":[""对本品过敏者""],""慎用人群"":[""过敏体质者""]}",彩轮
3788,"通用名称：天麻头风灵胶囊
                                
商品名称：益佰                                
英文名称：TianMaTouFengLingJiaoNang(YiBai)                                
汉语拼音：Tianma Toufengling Jiaonang",20.5,天麻、地黄、榔寄生、当归、玄参、钩藤、野菊花、杜仲、川芎、牛膝。,本品为胶囊剂，内容物为棕黄色粉末；气清香，味微苦。,滋阴潜阳，祛风，强筋骨。用于一般性头痛，手足麻木，慢性腰腿酸痛。,口服。一日2次，一次4粒。,孕妇忌服。,"1忌食辛辣刺激性食物。
2不宜在服药期间同时服用温补性中成药。
3外感风寒头痛者慎用。
4心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。
5严格按用法用量服用，小儿、年老体弱患者，应在医师指导下服用。
6服药3天后症状未改善，或出现其他严重症状时，应到医院就诊。
7对本品过敏者禁用，过敏体质者慎用。
8药品性状发生改变时禁止服用。
9儿童必须在成人监护下使用。
10请将此药放在儿童不能接触的地方。
11如正在服用其他药品，使用本品前请咨询医师或药师。",,天麻头风灵胶囊,['口服'],"['粉剂', '胶囊剂', '气雾剂', '软膏剂']","{""天麻"",""地黄"",""榔寄生"",""当归"",""玄参"",""钩藤"",""野菊花"",""杜仲"",""川芎"",""牛膝""}","{""滋阴潜阳"",""祛风"",""强筋骨"",""一般性头痛"",""手足麻木"",""慢性腰腿酸痛""}","{""忌用人群"":[""孕妇""], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""外感风寒头痛者"",""过敏体质者"",""小儿"",""年老体弱患者""]}",益佰
3789,"通用名称：仁丹
                                
商品名称：仁丹                                
英文名称：RenDan(TongRenTang)                                
汉语拼音：Rendan",212,肉桂、广藿香叶、薄荷脑、冰片、朱砂、砂仁、丁香、豆蔻(去果皮)、檀香、木香等味。,本品为朱红色的水丸，除去外衣，显黄褐色；味甘、凉。,清暑开窍。用于伤暑引起的恶心胸闷，头昏，晕车晕船。,含化或用温开水送服，一次10-20粒。,对本品过敏者禁用。,"1饮食宜清淡。
2不宜在服药期间同时服用滋补性中成药。
3有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者、孕妇或正在接受其它治疗的患者，均应在医师指导下服用。
4服药一天，症状无改善，应去医院就诊。
5按照用法用量服用，小儿、年老体虚者应在医师指导下服用。
6对本品过敏者禁用，过敏体质者慎用。
7本品性状发生改变时禁止使用。
8儿童必须在成人监护下使用。
9请将本品放在儿童不能接触的地方。
10如正在使用其他药品，使用本品前请咨询医师或药师。",,仁丹,"['口服', '含服']","['中药剂型', '液体剂型']","{""肉桂"",""广藿香叶"",""薄荷脑"",""冰片"",""朱砂"",""砂仁"",""丁香"",""豆蔻(去果皮)"",""檀香"",""木香""}","{""清暑开窍"",""伤暑"",""恶心胸闷"",""头昏"",""晕车晕船""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""过敏体质者"",""高血压患者"",""心脏病患者"",""肝病患者"",""糖尿病患者"",""肾病患者"",""慢性病严重者"",""孕妇"",""小儿"",""年老体虚者""]}",仁丹
3790,"通用名称：藿香正气丸(浓缩丸)
                                
商品名称：藿香正气丸                                
英文名称：HuoXiangZhengQiWan                                
汉语拼音：Huoxiang Zhengqi Wan",,广藿香、紫苏叶、白芷、白术(炒)、陈皮、半夏(制)、厚朴(姜制)、大腹皮、桔梗、茯苓、甘草、生姜。,本品为深棕色的浓缩丸；气芳香，味甘、微苦。,解表化湿，理气和中。用于暑湿感冒，头痛身重胸闷，或恶寒发热，脘腹胀痛，呕吐泄泻。,口服。一次8丸，一日3次。,尚不明确,"1.饮食宜清淡。
2.不宜在服药期间同时服用滋补性中成药。
3.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者、孕妇或正在接受其它治疗的患者，均应在医师指导下服用。
4.服药三天后症状未改善，或出现吐泻明显，并有其他严重症状时应去医院就诊。
5.按照用法用量服用，小儿、年老体虚者应在医师指导下服用。
6.长期服用应向医师咨询。
7.对本品过敏者禁用，过敏体质者慎用。
8.本品性状发生改变时禁止使用。
9.儿童必须在成人监护下使用。
10.请将本品放在儿童不能接触的地方。
11.如正在使用其他药品，使用",,藿香正气丸(浓缩丸),['口服'],"['中药剂型', '气雾剂']","{""广藿香"",""紫苏叶"",""白芷"",""白术(炒)"",""陈皮"",""半夏(制)"",""厚朴(姜制)"",""大腹皮"",""桔梗"",""茯苓"",""甘草"",""生姜""}","{""解表化湿"",""理气和中"",""暑湿感冒"",""头痛"",""身重"",""胸闷"",""恶寒发热"",""脘腹胀痛"",""呕吐泄泻""}","{""忌用人群"":[],""禁用人群"":[""对本品过敏者""],""慎用人群"":[""孕妇"",""高血压患者"",""心脏病患者"",""肝病患者"",""糖尿病患者"",""肾病患者"",""慢性病严重者"",""过敏体质者"",""小儿"",""年老体虚者""]}",藿香正气丸
3791,"通用名称：藿香正气片
                                
商品名称：同仁堂                                
英文名称：ZuoXiangZhengQiPian(TongRenTang)                                
汉语拼音：Huoxiang Zhengqi Pian",12.6,广藿香油、紫苏叶油、白芷、清半夏、陈皮、苍术(炒)、茯苓、厚朴(姜制)、大腹皮、甘草浸膏。,本品为棕褐色片；气香，味辛苦。,解表化湿，理气和中。用于暑湿感冒，头痛身重胸闷，或恶寒发热，脘腹胀痛，呕吐泄泻。,口服。一次4-8片，一日2次。,尚不明确。,"1饮食宜清淡。
2不宜在服药期间同时服用滋补性中成药。
3有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者、孕妇或正在接受其它治疗的患者，均应在医师指导下服用。
4服药三天后症状未改善，或出现吐泻明显，并有其他严重症状时应去医院就诊。
5按照用法用量服用，小儿、年老体虚者应在医师指导下服用。
6长期服用应向医师咨询。
7对本品过敏者禁用，过敏体质者慎用。
8本品性状发生改变时禁止使用。
9儿童必须在成人监护下使用。
10请将本品放在儿童不能接触的地方。
11如正在使用其他药品，使用本品前请咨询医师或药师",,藿香正气片,['口服'],"['片剂', '气雾剂']","{""广藿香油"",""紫苏叶油"",""白芷"",""清半夏"",""陈皮"",""苍术(炒)"",""茯苓"",""厚朴(姜制)"",""大腹皮"",""甘草浸膏""}","{""解表化湿"",""理气和中"",""暑湿感冒"",""头痛"",""身重"",""胸闷"",""恶寒发热"",""脘腹胀痛"",""呕吐泄泻""}","{""忌用人群"":[],""禁用人群"":[""对本品过敏者""],""慎用人群"":[""孕妇"",""高血压患者"",""心脏病患者"",""肝病患者"",""糖尿病患者"",""肾病患者"",""慢性病严重者"",""正在接受其它治疗的患者"",""过敏体质者"",""小儿"",""年老体虚者""]}",同仁堂
3792,"通用名称：十滴水胶丸
                                
英文名称：ShiDiShuiJiaoWan                                
汉语拼音：Shidishui Jiaowan",8,樟脑、干姜、大黄、小茴香、肉桂、辣椒、桉油。辅料为植物油、明胶、甘油、色素（焦糖色）。,本品为棕褐色至黑色的胶丸，内容物为黄棕色至棕褐色粘稠油质混悬液；有樟脑的特殊香气，味辛辣，微苦。,健胃、祛暑。用于因中暑而引起的头晕，恶心，腹痛，胃肠不适。,口服。一次4粒，儿童酌减。,孕妇忌服。,"1.饮食宜清淡，忌酒及辛辣、生冷、油腻食物。
2.不宜在服药期间同时服用滋补性中药。
3.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。
4.儿童、哺乳期妇女、年老体弱者应在医师指导下服用。
5.严格按用法用量服用，本品不宜长期服用。
6.服药3天症状无缓解，应去医院就诊。
7.对本品过敏者禁用，过敏体质者慎用。
8.本品性状发生改变时禁止使用。
9.儿童必须在成人监护下使用。
10.请将本品放在儿童不能接触的地方。
11.如正在使用其他药品，使用本品前请咨询医师或药师。","妊娠与哺乳期注意事项：
                                    
孕妇忌服。",十滴水胶丸,['口服'],"['中药剂型', '液体剂型', '气雾剂', '软膏剂']","{""樟脑"",""干姜"",""大黄"",""小茴香"",""肉桂"",""辣椒"",""桉油"",""植物油"",""明胶"",""甘油"",""色素（焦糖色）""}","{""健胃"",""祛暑"",""中暑"",""头晕"",""恶心"",""腹痛"",""胃肠不适""}","{""忌用人群"":[""孕妇""], ""禁用人群"":[""孕妇"",""对本品过敏者""], ""慎用人群"":[""过敏体质者""]}",
3793,"通用名称：氨酚麻美糖浆
                                
商品名称：小白                                
英文名称：Paracetamol, Pseudoephedrine Hydrochloride and Dextromethorphan Hydrobromide Syrup                                
汉语拼音：An Fen Ma Mei Tang Jiang",24.7,本品为复方制剂，每毫升含对乙酰氨基酚16毫克、盐酸伪麻黄碱1.5毫克、无水氢溴酸右美沙芬0.5毫克。辅料为：蔗糖、聚乙二醇400、苯甲酸钠、哈密瓜精、水。,本品为淡黄棕色液体，味甜带苦。,适用于缓解儿童普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咳嗽、咽痛等症状。,口服。1-3岁每次服5ml;4-6岁每次服7.5ml;　7-10岁每次服10ml;11-14岁每次服20ml，一日3-4次。,严重肝肾功能不全者禁用。,"1.用药3～7天，症状不缓解，请咨询医师或药师。
2.肝肾功能不全者慎用。
3.孕妇及哺乳期妇女慎用。
4.请勿超过推荐剂量服用，每隔4～6小时给药一次。
5.原发性高血压、糖尿病、抑郁症、心脏病、甲亢、青光眼、哮喘患者及对伪麻黄碱药理作用敏感者慎用。
6.不应同时服用含与本品成分相似的其他抗感冒药。
7.1岁以下儿童请在医师指导下使用。
8.请勿同时服用含有酒精的饮料。
9.服用过量或有严重不良反应时应立即就医。
10.儿童必须在成人监护下使用。
11.当本品性状发生改变时禁用。
12.请将此药品放在儿童不能接触的地方。",,氨酚麻美糖浆,['口服'],"['中药剂型', '液体剂型']","{""对乙酰氨基酚"",""盐酸伪麻黄碱"",""无水氢溴酸右美沙芬"",""蔗糖"",""聚乙二醇400"",""苯甲酸钠"",""哈密瓜精"",""水""}","{""普通感冒"",""流行性感冒"",""发热"",""头痛"",""四肢酸痛"",""打喷嚏"",""流鼻涕"",""鼻塞"",""咳嗽"",""咽痛""}","{""忌用人群"":[],""禁用人群"":[""严重肝肾功能不全者"",""对伪麻黄碱药理作用敏感者"",""1岁以下儿童"",""对本品过敏者"",""对含与本品成分相似的其他抗感冒药过敏者"",""对含有酒精的饮料过敏者"",""当本品性状发生改变时""],""慎用人群"":[""肝肾功能不全者"",""孕妇"",""哺乳期妇女"",""原发性高血压患者"",""糖尿病患者"",""抑郁症患者"",""心脏病患者"",""甲亢患者"",""青光眼患者"",""哮喘患者""]}",小白
